,portfolio_gross_ret,portfolio_turnover,portfolio_net_ret,capital_clp,benchmark_ret,benchmark_capital_clp
2017-01-03,0.0,0.0,0.0,10000000.0,0.0024230983912726153,10024230.983912725
2017-01-04,0.0,0.3,-0.00045,9995500.0,0.008634048346478695,10110780.678864097
2017-01-05,0.0015778684587326674,0.0,0.0015778684587326674,10011271.584179262,0.002719001343402983,10138271.905112782
2017-01-06,-0.00036701934017506764,0.0,-0.00036701934017506764,10007597.253888123,-0.008690002471510305,10050170.297200508
2017-01-09,0.008929770752157106,0.0,0.008929770752157106,10096962.803145261,0.024387749124195036,10295271.329064073
2017-01-10,-0.00552877118923365,0.0,-0.00552877118923365,10041139.006100468,-0.00841359605749199,10208651.07479905
2017-01-11,0.003340849251195732,0.0,0.003340849251195732,10074684.937830152,0.00920815316146828,10302653.897467786
2017-01-12,-0.0024694806678798196,0.0,-0.0024694806678798196,10049805.6981412,0.005764408626116335,10362042.60446624
2017-01-13,0.0007413026181924964,0.0,0.0007413026181924964,10057255.645417558,0.007166278000477621,10436299.882422639
2017-01-17,-0.003848669571077512,0.0,-0.003848669571077512,10018548.591646492,-0.017682582747933738,10251759.14616945
2017-01-18,-0.0009593310315174519,0.0,-0.0009593310315174519,10008937.487091761,-0.002879788031646546,10222236.252876988
2017-01-19,0.001884655252763867,0.0,0.001884655252763867,10027800.883701392,0.0028995279755905544,10251875.9128653
2017-01-20,0.006327712482066627,0.0,0.006327712482066627,10091253.924520869,0.021892764595759374,10476317.818890598
2017-01-23,-0.007086455122885604,0.0,-0.007086455122885604,10019742.706451109,-0.015412349910755484,10314853.142889572
2017-01-24,-0.0014132563878509474,0.0,-0.0014132563878509474,10005582.241066596,-0.000557502723943492,10309102.584165335
2017-01-25,0.010271073638885197,0.0,0.010271073638885197,10108350.313064512,0.02906065550925754,10608691.86297336
2017-01-26,-0.0016233923090534508,0.0,-0.0016233923090534508,10091940.494909065,-0.011718007208748592,10484379.135247646
2017-01-27,-0.0038940347346353653,0.0,-0.0038940347346353653,10052642.128082015,-0.013168381819229101,10346316.827657145
2017-01-30,0.002853556945506219,0.0,0.002853556945506219,10081327.914847292,0.006291650849659213,10411412.240716714
2017-01-31,-0.001384671820715233,0.0,-0.001384671820715233,10067368.584168212,0.002460614591891408,10437030.71359842
2017-02-01,0.0022110859483569943,0.0,0.0022110859483569943,10089628.401381599,0.0013412669801124765,10451029.558264991
2017-02-02,-0.0011419760427074709,0.3,-0.001591976042707471,10073565.954686778,-0.0017083536705960415,10433175.50355762
2017-02-03,0.0,0.3,-0.00045,10069032.850007169,-0.005574628479720745,10375014.426261565
2017-02-06,-0.00025017022770906783,0.0,-0.00025017022770906783,10066513.877766272,-0.0026761155226326383,10347249.689107906
2017-02-07,0.0009557661669047812,0.3,0.0005057661669047812,10071605.179904323,-0.001378749213567454,10332983.426736461
2017-02-08,0.0,0.0,0.0,10071605.179904323,0.014324720227005148,10481000.523434743
2017-02-09,0.0,0.0,0.0,10071605.179904323,0.0019567431559008417,10501509.149475968
2017-02-10,0.0,0.0,0.0,10071605.179904323,0.008282441353332915,10588487.28312799
2017-02-13,0.0,0.0,0.0,10071605.179904323,0.008002897753424065,10673225.864218295
2017-02-14,0.0,0.3,-0.00045,10067072.957573367,-0.0009029642821414829,10663588.322487677
2017-02-15,0.0012099842403726635,0.0,0.0012099842403726635,10079253.957198711,0.004645801165887686,10713129.233548835
2017-02-16,-0.0012159557270677523,0.0,-0.0012159557270677523,10066998.030624885,-0.009058242239934,10616087.113803633
2017-02-17,0.0013470122658923334,0.0,0.0013470122658923334,10080558.40045285,-0.004000453360027112,10573617.952438876
2017-02-21,0.0024232832418753735,0.0,0.0024232832418753735,10104986.448693413,0.011601293144516522,10696285.593903242
2017-02-22,0.00044288962174077184,0.0,0.00044288962174077184,10109461.842319371,0.0006377778110747913,10703107.447515951
2017-02-23,-0.0005438816583178796,0.0,-0.0005438816583178796,10103963.49144787,-0.00977522422062006,10598482.172359094
2017-02-24,-0.00014822885174452515,0.0,-0.00014822885174452515,10102465.792541465,-0.0022822149797080966,10574294.157583168
2017-02-27,0.002852074723908027,0.0,0.002852074723908027,10131278.779877517,0.0075115986602703345,10653724.011410575
2017-02-28,-0.0008969227305638982,0.3,-0.0013469227305638982,10117632.73019922,-0.0014035244675171142,10638771.249090387
2017-03-01,0.0,0.0,0.0,10117632.73019922,0.01537199087031611,10802310.343602784
2017-03-02,0.0,0.0,0.0,10117632.73019922,-0.0074151938370734735,10722209.118516745
2017-03-03,0.0,0.0,0.0,10117632.73019922,0.011035743743362449,10840536.670711441
2017-03-06,0.0,0.0,0.0,10117632.73019922,-0.0019525416833658933,10819370.07099182
2017-03-07,0.0,0.0,0.0,10117632.73019922,0.002259096806642546,10843812.07536908
2017-03-08,0.0,0.0,0.0,10117632.73019922,-0.009551603777812133,10740236.278984101
2017-03-09,0.0,0.0,0.0,10117632.73019922,0.004595245487213284,10789590.301276708
2017-03-10,0.0,0.0,0.0,10117632.73019922,0.005634008802325008,10850378.948007582
2017-03-13,0.0,0.0,0.0,10117632.73019922,0.00703345943065713,10926694.64814565
2017-03-14,0.0,0.0,0.0,10117632.73019922,0.0009281258531597444,10936835.995938174
2017-03-15,0.0,0.0,0.0,10117632.73019922,0.014543876193853156,11095899.984615576
2017-03-16,0.0,0.0,0.0,10117632.73019922,-0.0001617161421208935,11094105.598476704
2017-03-17,0.0,0.0,0.0,10117632.73019922,-0.020193663368931948,10870074.964641683
2017-03-20,0.0,0.3,-0.00045,10113079.795470629,0.016850957571849023,11053246.136673678
2017-03-21,-0.005445134336060941,0.0,-0.005445134336060941,10058012.717432989,-0.011508301786199049,10926042.044415697
2017-03-22,0.0015301317740062047,0.0,0.0015301317740062047,10073402.80227529,0.003619218996858209,10965585.783343319
2017-03-23,0.0004239067776884431,0.0,0.0004239067776884431,10077672.985997561,0.00490446925670358,11019366.16169947
