asset,year,selected_return,best_simple_hindsight,best_simple_hindsight_return,regret_vs_best_simple,buyhold_return,regret_vs_buyhold
QQQ,2017,-0.01673401851897982,BUYHOLD,0.22222840379700703,0.23896242231598686,0.22222840379700703,0.23896242231598686
ECH,2017,0.0,BUYHOLD,0.32976223322460885,0.32976223322460885,0.32976223322460885,0.32976223322460885
CPER,2017,0.0,BUYHOLD,0.1828486333367796,0.1828486333367796,0.1828486333367796,0.1828486333367796
QQQ,2018,-0.011975765983053943,BUYHOLD,0.11078000488096307,0.12275577086401701,0.11078000488096307,0.12275577086401701
ECH,2018,-0.020778919682296393,CASH,0.0,0.020778919682296393,-0.10175285470530726,-0.08097393502301087
CPER,2018,-0.07951818063384941,CASH,0.0,0.07951818063384941,-0.09728290124798877,-0.017764720614139362
QQQ,2019,0.21560027512931157,BUYHOLD,0.5023103414647216,0.2867100663354101,0.5023103414647216,0.2867100663354101
ECH,2019,-0.03433500154109492,CASH,0.0,0.03433500154109492,-0.13786245643797124,-0.10352745489687631
CPER,2019,0.057570029704313574,BUYHOLD,0.14389230583563029,0.08632227613131671,0.14389230583563029,0.08632227613131671
QQQ,2020,0.24138857466346297,BUYHOLD,0.3957845112525751,0.1543959365891121,0.3957845112525751,0.1543959365891121
ECH,2020,-0.17652287624951157,CASH,0.0,0.17652287624951157,-0.13414261037549624,0.04238026587401533
CPER,2020,0.036997156813862064,BUYHOLD,0.17984840918238887,0.1428512523685268,0.17984840918238887,0.1428512523685268
QQQ,2021,0.07060056049558217,BUYHOLD,0.5485683884965267,0.4779678280009445,0.5485683884965267,0.4779678280009445
ECH,2021,0.0,CASH,0.0,0.0,-0.08537388376625166,-0.08537388376625166
CPER,2021,0.028910265385839296,BUYHOLD,0.45382261291375947,0.4249123475279202,0.45382261291375947,0.4249123475279202
QQQ,2022,-0.32070821478467604,CASH,0.0,0.32070821478467604,-0.32070821478467604,0.0
ECH,2022,0.1950502081860659,BUYHOLD,0.26335111437578296,0.06830090618971707,0.26335111437578296,0.06830090618971707
CPER,2022,0.04767809057379435,MEANREV,0.04767809057379435,0.0,-0.14957251570847152,-0.19725060628226587
QQQ,2023,0.09368517155797074,BUYHOLD,0.5894232456282653,0.4957380740702946,0.5894232456282653,0.4957380740702946
ECH,2023,-0.010023058098579063,BUYHOLD,0.16166729478172281,0.17169035288030188,0.16166729478172281,0.17169035288030188
CPER,2023,-0.0114781815924756,BUYHOLD,0.09121027261400272,0.10268845420647832,0.09121027261400272,0.10268845420647832
QQQ,2024,0.44888218646976497,BUYHOLD,0.44888218646976497,0.0,0.44888218646976497,0.0
ECH,2024,0.0453533312043759,BUYHOLD,0.046093214949062045,0.0007398837446861428,0.046093214949062045,0.0007398837446861428
CPER,2024,0.06347517404266045,BUYHOLD,0.1784478355183552,0.11497266147569474,0.1784478355183552,0.11497266147569474
QQQ,2025,0.07703263689302497,MOMENTUM,0.11985988825726679,0.042827251364241814,0.06546820461303127,-0.011564432279993708
ECH,2025,0.03455518549308212,BUYHOLD,0.5091708865830755,0.4746157010899934,0.5091708865830755,0.4746157010899934
CPER,2025,0.05173541934888726,BUYHOLD,0.2244814276818341,0.17274600833294684,0.2244814276818341,0.17274600833294684
QQQ,2026,0.2671840402215502,BUYHOLD,0.2671840402215502,0.0,0.2671840402215502,0.0
ECH,2026,-0.015358960993888782,MEANREV,0.03947640312034273,0.05483536411423151,0.02619999055929756,0.04155895155318634
CPER,2026,0.1732006554921477,BUYHOLD,0.1764619023997942,0.003261246907646509,0.1764619023997942,0.003261246907646509
