final_capital_clp,max_drawdown
13125729.336757349,-0.1660874433474041
18208235.454291306,-0.1137163311728876
10578582.902768059,-0.15593255120296168
19857311.991640393,-0.1268463221658107
16941686.6142097,-0.10774914133488411
11927577.627362983,-0.24641328097435333
19294007.486169923,-0.1315128167216688
11905396.576558968,-0.21223458877925616
14064079.693060687,-0.13599833403981465
11151274.400953043,-0.23786162479231554
22139202.285080615,-0.10328526943685712
14716440.335233461,-0.09592936747545977
11687509.465090944,-0.22373330966901472
13131903.026860505,-0.19547363828919806
18844318.092429366,-0.11972913564686016
14831470.370003605,-0.1357457209819789
12422203.281876463,-0.1794711682294644
12659656.20652609,-0.17200003860655777
14081196.656089544,-0.1392917223670035
13976552.28549293,-0.13971691273210474
16607541.450448059,-0.09770260938460318
14039101.14639431,-0.09985508096661666
22999843.18093133,-0.0807036335407475
11932091.360086683,-0.18634321839518486
13689655.984011663,-0.1537427004180083
14860395.378272286,-0.12883357619977254
13111728.82303716,-0.17381010153276133
20694667.10291158,-0.1469775100896672
12957854.868153486,-0.09031797462613311
16454534.84571891,-0.14931081872754426
10143030.84431387,-0.21878382120029882
15606189.244644895,-0.162241564764389
12101178.558103483,-0.13043132764606669
17852353.954332758,-0.12457810353306709
11821630.04085122,-0.16983236984719807
20480990.662589364,-0.1279179945869483
16542815.681687126,-0.12293501054318012
16259529.74920853,-0.10136268581448105
11893282.81753137,-0.12705570213750128
23975716.69413826,-0.10501321361117155
24733219.22138165,-0.08755543398639132
13415760.0677476,-0.11386782083567093
11082407.93528833,-0.15039850089895046
10094293.49612438,-0.2399495715788864
24627097.464485236,-0.05656752949090582
23417633.243618537,-0.16548252299245814
18538295.40367847,-0.10431140862390764
14374979.998412544,-0.16422892375569365
12301633.985745804,-0.17777826063654512
11666513.85424808,-0.1650852043490123
12207141.48958379,-0.11524486219350194
14657148.948320067,-0.09468471366622955
10699265.123617921,-0.1746573390170567
12862614.14591862,-0.16024097126110015
18133839.707007512,-0.12555083351152418
20101906.485953543,-0.13879468683427254
12213945.539351074,-0.0981647223602452
15586900.903097864,-0.16647019880957292
16815976.16681824,-0.11422011154839207
26427115.827044267,-0.07290789398336395
10422542.512019007,-0.2118710948523833
15172001.15300396,-0.21503904393808293
20828610.53259813,-0.13630369067454062
14067128.66049406,-0.1559835830268108
17851875.263162363,-0.10451858299286809
13672679.186752032,-0.1330053450750659
13842147.489232507,-0.1593319023331219
16267299.231038911,-0.117057840010658
17555357.48736609,-0.09697439091688687
13188500.877422547,-0.13146488756745056
10048742.927316068,-0.18318447925131365
14919622.11048055,-0.14211598233049316
22668308.90133392,-0.06710557306829368
12943361.223388039,-0.1464193809516211
14599407.037761766,-0.13432017364886017
14752846.454877462,-0.16519861135713076
20907358.014753167,-0.08355217454564534
13874599.22826227,-0.1644829065599478
13015686.14797778,-0.12537912753864844
13555598.581641302,-0.11717713008065933
16964682.62623876,-0.18938093761145003
17065494.211549185,-0.1356259483070188
11524750.052916894,-0.213675200650974
13087219.893041637,-0.241025396065778
14106873.24648628,-0.1270308012367678
11844434.03552984,-0.2058194516865851
12402267.874627102,-0.2064417438263184
10679545.204851089,-0.21276344160199268
13640968.91461378,-0.14975784077901744
16450276.205674483,-0.1375612278753222
16352578.089907276,-0.24832144562928637
13488999.75605777,-0.09754778472000691
14249653.374583578,-0.16523431689659407
10198971.92188835,-0.18585938499467625
18561356.61080782,-0.1571567731692024
14969443.343313934,-0.13416984687786826
13680661.82996777,-0.08556188353129568
12743259.967256384,-0.0945510483253631
10924185.499355989,-0.20899980034279908
16735966.926084023,-0.16588590715979967
10604423.697562046,-0.16705308640420102
27742142.073161617,-0.08938358165319638
17727643.728437565,-0.09182046607922512
19440268.6268167,-0.09196391582301988
11790433.680913905,-0.1416552534534412
20796203.615572087,-0.10653550896782982
17241469.966422748,-0.20469978487066653
16913990.38694413,-0.09329738790102338
14387612.816176672,-0.12210598217382096
11679127.646092145,-0.13228680150540018
17797721.635831166,-0.11911001184398828
11653637.988068145,-0.16895673884606988
13882218.019612167,-0.1526852267120249
10130541.13161156,-0.1897694711734731
9708261.255578542,-0.3226323491639833
9796080.78430916,-0.21425437550182724
19475433.198399372,-0.17236823224155506
11076645.6652002,-0.23163840642448763
13427100.82638554,-0.08790761755142873
20539291.49011022,-0.11428809540972917
10428692.82460483,-0.3253406174193548
26521003.22797746,-0.17244005441949428
21384564.022761256,-0.15793738315114558
16737108.785080943,-0.09352121573132977
13801083.908898516,-0.19146857683653018
17524283.374730498,-0.14465132382738666
12660996.640935998,-0.18599513785693467
25188109.989642423,-0.07357747560689909
21721148.047849357,-0.0841942413359994
10932696.648081586,-0.19954416540094067
14164727.137008596,-0.15111081332194343
14802762.74116575,-0.18292634276872322
24751113.260073412,-0.07431604726212593
18065346.67270099,-0.11325179528002005
9427050.605247853,-0.17803932705219427
20151595.35117758,-0.06867083831014942
19069016.202971272,-0.12261020210033269
14257962.893738326,-0.16130402257313792
19092122.692010112,-0.09333328816192077
13932311.942664735,-0.15847070277251218
10926891.200558947,-0.21383101965660234
15427051.109916463,-0.10911617351547431
17364383.269368496,-0.1246241585640121
20244656.18597244,-0.15954928622916198
19697785.370511867,-0.07538609910998761
14652266.43183676,-0.1526340040584907
19166524.544164907,-0.14452530981111344
12163837.162641484,-0.2589344442763287
16814206.04227311,-0.1345551331083673
24961119.65243789,-0.07202994181655287
23606313.062549647,-0.19666731147901517
26711784.061744317,-0.0895850262645077
19135509.901746493,-0.07392131926009748
20142241.09446971,-0.1432479508147514
10512019.326835798,-0.16808562917309777
19249046.424806435,-0.09034197936094812
15017139.718606245,-0.08369732713106093
10813630.846944604,-0.18541689029521624
22073839.468701005,-0.08287714233765586
15701846.772256374,-0.09019307484817718
21754459.991341345,-0.09694697609069991
13683097.22176713,-0.11747779960414828
12761207.71066803,-0.13495345341750775
15315786.982558135,-0.13006962683173584
16870555.610237267,-0.12076471175730796
12695926.905041834,-0.1348584892482586
15226364.016735166,-0.13685112200028604
13878018.45940396,-0.22426850903765594
13197028.703007132,-0.19032006295791892
18630933.07412954,-0.08711919682158997
28598938.229736637,-0.0709957222982669
12925373.201786662,-0.11996190664124917
20174738.994224045,-0.08391527951102495
12894133.2443886,-0.11715077277473829
16271613.740515083,-0.11414734293381235
8018765.840500262,-0.3315324702723471
22011488.392376173,-0.11216405337866686
19163553.1010143,-0.07063298731518919
11517489.682816708,-0.17640197882555975
15573585.98801568,-0.1349382625549791
12894815.747144496,-0.11723612518866622
15703979.700707626,-0.11547394308205194
21326815.110727914,-0.15512209291310597
10911562.438069217,-0.3339730899795156
16062586.391922127,-0.10951359233065472
11362443.27113588,-0.13600204925483883
16955093.553641975,-0.09447824851295483
13617623.105853433,-0.12719116270797803
16720274.9098839,-0.10443606626303392
11861717.066069545,-0.12157385630391404
15656882.644441446,-0.15473577565670737
17600321.91579654,-0.11616700485246934
15468356.788350351,-0.17191301925205582
20333780.53812037,-0.17898612965901695
14513885.190156603,-0.2017461209590442
12318994.13723193,-0.21398100765832873
22310669.518557947,-0.127687210505807
13993752.666400103,-0.09296879223164678
12584326.619443523,-0.15955141805011075
14297560.12990191,-0.09974046504026213
17318488.807484552,-0.10020390600700124
15022829.342436837,-0.1870708170405171
10255691.55513991,-0.1597075199051542
18567344.354881693,-0.08300268742925643
12488128.41533021,-0.21589859323524363
10854731.49554056,-0.23624261994553075
14526922.971932067,-0.1046322288732412
11072866.930864938,-0.16597237864008996
11608667.642414868,-0.30469504846492657
24293130.821811166,-0.11128921374742085
17292244.93111576,-0.08344027457702519
15832116.472257063,-0.14085581659460344
19562232.747777328,-0.1516679081467509
10565318.635911098,-0.35770799376989837
15509635.957760872,-0.19393172175475482
12918357.000910863,-0.16114716343597513
12764472.580415731,-0.13918547449015906
13563234.616846634,-0.19897167494437373
16239944.31540483,-0.11070482292268546
18606001.439358067,-0.07700810096251953
18974678.930489317,-0.10207231410173723
11365023.318053747,-0.17105411278551974
9806525.325032195,-0.17998649930547816
13165254.1212498,-0.12151023359371871
12676591.177623196,-0.1489709203650148
13220417.523124827,-0.22314662172357091
16392257.06387384,-0.2056110628585629
27006381.96580058,-0.10820541438016007
12274016.152762044,-0.13241062750700938
10111706.355084129,-0.18714271130791804
22034309.876467936,-0.08636156461354016
14810556.668160977,-0.11578108895732309
19752244.064355917,-0.16215057191437887
11413371.064516604,-0.2101327190935922
9080714.47552351,-0.30045805699193184
18529854.1042624,-0.09932245803814577
16791207.111596603,-0.1317243205219919
19396743.16609919,-0.10486217810516119
16248820.213233326,-0.13675292609120437
11969403.36257017,-0.16643784720272503
17794586.810349718,-0.14921313565136318
14015064.820114829,-0.13496206668923505
13996150.305505143,-0.15631170789370852
13157701.857847868,-0.11715923440741005
23018437.78678829,-0.11013729512734283
12796404.788284635,-0.20596658436340032
21612981.50327669,-0.055982544458842876
13504867.85649448,-0.24174779442909466
10422129.055299405,-0.180963958608636
9594013.937719498,-0.26312706477062875
12728367.914932292,-0.1135097999797976
18791918.348491937,-0.1628127272759795
20992992.70356049,-0.08075085548770455
11651837.572318513,-0.16452836848315078
10046363.346874487,-0.1766268207792263
18729847.34152924,-0.07375488562709898
17193957.582476985,-0.11357170614962608
10126338.874382524,-0.25215543887933733
22954398.835588347,-0.14829934282872448
13165252.418935612,-0.1871525466991003
17360445.311559334,-0.09071650999486669
10768580.923884451,-0.1360510019917468
20359623.59302977,-0.11309069315979081
17612730.235716246,-0.15658877510866742
14851575.040944587,-0.17820587545962774
17797219.980500553,-0.11728228977799371
12637334.3755049,-0.16098065254717164
12620386.17711316,-0.11314324215226745
12046718.803009413,-0.10073531079303444
15653742.87817451,-0.11582612138908877
18791592.868977103,-0.15500547663276742
16119350.790629104,-0.1457602242452517
25410051.66859837,-0.07113003502788284
19043537.417023927,-0.1659490169373239
13416667.847091934,-0.11640101392849522
17628641.204583954,-0.1038111950136148
15722391.834351368,-0.10678560440248086
14132119.53827739,-0.24329664932209738
22288852.72165262,-0.09761008049232056
15139551.106271429,-0.10147392252916232
11540026.104862459,-0.18804677140998094
26132414.431823183,-0.07700861995304298
24325514.100502305,-0.06266407890686143
8699358.971280823,-0.23680844473341378
10458682.771233043,-0.18924039833125805
14519686.704326496,-0.18547142386143678
15747027.41047603,-0.1800850001513712
20494234.787799757,-0.13075647086513187
13295670.091407267,-0.1033524904959322
14149775.313139504,-0.14512728742993286
25473480.904563468,-0.10904262143626031
12481701.834845958,-0.12575087509627425
11511459.198432809,-0.11217619103736931
15618832.702827938,-0.18193972577281048
13178638.367514797,-0.15466264869170454
17443420.64626164,-0.1275658291174523
13521783.221443744,-0.26036300637815557
15415872.455193607,-0.15442282169869215
19242325.085491497,-0.11131079686542134
14535656.527056884,-0.11716275500025741
15558641.485906577,-0.13975710367977479
14785882.69835338,-0.12139596555132592
18461803.355027314,-0.11098092155145545
14072528.119928524,-0.15451868328411278
12986777.956032893,-0.144253244745151
13758970.941831606,-0.13084826559549223
18021899.18292486,-0.13610949581019827
16619760.721141348,-0.10006617325509959
15034177.366707908,-0.15671366250979946
12306203.210388647,-0.15977787150860867
21503501.069902953,-0.1461074593344267
13430789.483285883,-0.11823974953066219
17195174.757347558,-0.15050770277662784
10656949.726664491,-0.11578944083938314
12789033.441053772,-0.17939040767386927
11661375.075710457,-0.1977052969098969
12173327.68356465,-0.18612003362441565
11138730.304503255,-0.2876587651507473
10237733.100571817,-0.18477366190888578
17397069.80473504,-0.0687515071059881
16501871.12908765,-0.1256915251023515
17402349.511016954,-0.11171372522728096
12423184.555922106,-0.14239297222588043
17379483.063400432,-0.09937874661224322
11613253.336614087,-0.16895609665559974
14783348.136536798,-0.12516156177995374
10945916.090475805,-0.11868940450496823
20826929.147668146,-0.12256540546228345
11654477.184281379,-0.23914133323805353
15715283.482717847,-0.1892373578931298
13322217.56559948,-0.16431277249559928
19175692.06791691,-0.11266896903190105
19207782.310922574,-0.07517868053133359
16853582.78688308,-0.10228305566976481
22693461.290929522,-0.12244413427459888
16715819.73748701,-0.1564741919045355
18278291.212021038,-0.1198079326274567
18569589.393885124,-0.10443453633545863
11796168.080369106,-0.14544498010056017
19169363.941095337,-0.09346340960328758
19213389.799889747,-0.0994362985790248
21751229.587913148,-0.10332325046081403
17676732.911331702,-0.13482326122665755
21784099.42346333,-0.07384103338756653
25968505.853561673,-0.1115292108368956
16362964.95233893,-0.10451019187275912
14311910.02644158,-0.2232773384356611
12450026.338177705,-0.12611594038468266
13697608.095045894,-0.125747375817178
24242722.662940666,-0.0701451378418223
