date,asset,threshold,val_brier,val_accuracy,train_start,train_end,w_logit,w_rf,w_hgb,w_gb
2025-09-22,NASDAQ100_TR,0.54,0.26235319896297815,0.503968253968254,2019-09-09,2025-09-12,0.1896526834658645,0.2773318115821166,0.2514952399357482,0.28152026501627064
2025-10-01,NASDAQ100_TR,0.6800000000000002,0.2598464130823758,0.5079365079365079,2019-09-18,2025-09-23,0.18905864029956768,0.2806915292444387,0.24747597559623985,0.2827738548597537
2025-11-03,NASDAQ100_TR,0.56,0.2521529887424675,0.5238095238095238,2019-10-21,2025-10-24,0.19549399951194033,0.2721363881774993,0.2514644705046727,0.2809051418058878
2025-12-01,NASDAQ100_TR,0.6400000000000001,0.24547971064484764,0.5555555555555556,2019-11-15,2025-11-20,0.21063313685110063,0.26573472350462557,0.2568823195712807,0.266749820072993
2026-01-02,NASDAQ100_TR,0.52,0.24427175404349039,0.5515873015873016,2019-12-18,2025-12-23,0.20795479008657008,0.26927895187159584,0.2596481994245233,0.2631180586173107
2026-02-02,NASDAQ100_TR,0.6800000000000002,0.23846512394435995,0.5634920634920635,2020-01-17,2026-01-23,0.20606770678568917,0.25898630989451876,0.2632895794351221,0.27165640388467
2026-03-02,NASDAQ100_TR,0.6000000000000001,0.25105035599697045,0.5436507936507936,2020-02-14,2026-02-20,0.19824347486603283,0.2752969253178718,0.2526355136973057,0.2738240861187896
2026-04-01,NASDAQ100_TR,0.52,0.2550181846957351,0.5436507936507936,2020-03-18,2026-03-24,0.19357120703904443,0.27264725602041845,0.2560426385629463,0.27773889837759086
2026-05-01,NASDAQ100_TR,0.52,0.25154289429633725,0.5476190476190477,2020-04-17,2026-04-23,0.18080663126773722,0.2685528405036187,0.2710524081625326,0.2795881200661115
2026-06-01,NASDAQ100_TR,0.54,0.25640469743308547,0.5317460317460317,2020-05-15,2026-05-21,0.19127872091111373,0.2747543457714477,0.2574499040460391,0.27651702927139954
2026-07-01,NASDAQ100_TR,0.52,0.25849283097245784,0.5436507936507936,2020-06-16,2026-06-23,0.20487574480230605,0.2752127139370087,0.248023448661124,0.27188809259956126
2026-08-03,NASDAQ100_TR,0.52,0.27195250893558115,0.5317460317460317,2020-07-17,2026-07-24,0.21117519338526125,0.28438113944805465,0.23439306240346455,0.27005060476321957
2026-09-01,NASDAQ100_TR,0.5800000000000001,0.2681841150032141,0.503968253968254,2020-08-17,2026-08-24,0.21314867666126233,0.2830734030877132,0.2389772360119417,0.2648006842390828
2025-09-22,CHILE_LARGECAP_NTR,0.52,0.28628774147824787,0.44841269841269843,2019-11-28,2025-09-12,0.2103341785742009,0.2908437700319374,0.22797223925000215,0.2708498121438596
2025-10-01,CHILE_LARGECAP_NTR,0.52,0.28906706276311706,0.44047619047619047,2019-12-09,2025-09-23,0.20245268865715993,0.29430476081733586,0.23372443410490304,0.26951811642060103
2025-11-03,CHILE_LARGECAP_NTR,0.54,0.2899819439648154,0.42857142857142855,2020-01-09,2025-10-24,0.22888743638293543,0.2834465937938139,0.21964565700416464,0.26802031281908595
2025-12-01,CHILE_LARGECAP_NTR,0.52,0.305142892079286,0.3968253968253968,2020-02-06,2025-11-21,0.20938719580392162,0.29561789398060434,0.23041677374054942,0.2645781364749246
2026-01-01,CHILE_LARGECAP_NTR,0.52,0.313359915853017,0.376984126984127,2020-03-10,2025-12-24,0.19535487019808212,0.2973233371580586,0.23149389984385293,0.2758278928000063
2026-02-02,CHILE_LARGECAP_NTR,0.54,0.2880653711941555,0.44841269841269843,2020-04-09,2026-01-23,0.18785327110450867,0.29055469195099676,0.23453922323115892,0.28705281371333574
2026-03-02,CHILE_LARGECAP_NTR,0.6200000000000001,0.2723844395498757,0.4444444444444444,2020-05-07,2026-02-20,0.19061422336038045,0.2890569016671772,0.2427314526625436,0.27759742230989876
2026-04-01,CHILE_LARGECAP_NTR,0.52,0.2667994743516178,0.4801587301587302,2020-06-08,2026-03-24,0.20237710780443105,0.2824398058775926,0.2401069892454982,0.2750760970724781
2026-05-01,CHILE_LARGECAP_NTR,0.52,0.26440345625945794,0.5198412698412699,2020-07-08,2026-04-23,0.20033319386230722,0.2746292804406754,0.24820052812728022,0.27683699756973706
2026-06-01,CHILE_LARGECAP_NTR,0.52,0.2716253750097766,0.5357142857142857,2020-08-06,2026-05-22,0.20825777017822683,0.27300218503725426,0.24144123637916212,0.27729880840535687
2026-07-01,CHILE_LARGECAP_NTR,0.52,0.2725960509718392,0.5238095238095238,2020-09-07,2026-06-23,0.2066070696285055,0.27472508570775434,0.2432759051547259,0.27539193950901425
2026-08-03,CHILE_LARGECAP_NTR,0.52,0.2672758720180535,0.5119047619047619,2020-10-08,2026-07-24,0.20828703908399415,0.27128683745585985,0.24321971166636433,0.27720641179378164
2026-09-01,CHILE_LARGECAP_NTR,0.52,0.26197038871527595,0.5357142857142857,2020-11-06,2026-08-24,0.218243905665953,0.2770608684120646,0.23470234147979147,0.26999288444219083
2025-09-22,COPPER_MINERS_TR,0.5800000000000001,0.3183158116261591,0.45132743362831856,2023-12-18,2025-09-12,0.21207542686998906,0.30437243217266596,0.21493210881030148,0.26862003214704344
2025-10-01,COPPER_MINERS_TR,0.52,0.36569848703216423,0.40869565217391307,2023-12-18,2025-09-23,0.20966669694297513,0.31413188121954894,0.21471517833450668,0.2614862435029693
2025-11-03,COPPER_MINERS_TR,0.6,0.38553249186583005,0.39669421487603307,2023-12-18,2025-10-24,0.2053551775135417,0.3099915215434433,0.21509022821710397,0.269563072725911
2025-12-01,COPPER_MINERS_TR,0.56,0.36967298970620865,0.40476190476190477,2023-12-18,2025-11-21,0.19469607983234866,0.31094925203808355,0.21767636005011518,0.27667830807945265
2026-01-01,COPPER_MINERS_TR,0.52,0.3457713106948007,0.3712121212121212,2023-12-18,2025-12-24,0.16078352156212727,0.3003330939520789,0.24179567881356145,0.29708770567223236
2026-02-02,COPPER_MINERS_TR,0.6400000000000001,0.32768294562731315,0.35766423357664234,2023-12-18,2026-01-23,0.1462283650942281,0.29379581091107504,0.25588111475301445,0.30409470924168247
2026-03-02,COPPER_MINERS_TR,0.52,0.32919362795190216,0.3873239436619718,2023-12-18,2026-02-20,0.1542408864327857,0.28810032886188797,0.25018299648231734,0.307475788223009
2026-04-01,COPPER_MINERS_TR,0.52,0.3087263195559804,0.4594594594594595,2023-12-18,2026-03-24,0.1540908985533495,0.3028751124610075,0.26281567457993904,0.28021831440570383
2026-05-01,COPPER_MINERS_TR,0.52,0.25671620198772915,0.6405228758169934,2023-12-18,2026-04-23,0.1762648350814001,0.28991193641265456,0.2679647362900242,0.265858492215921
2026-06-01,COPPER_MINERS_TR,0.56,0.26737548617392387,0.620253164556962,2023-12-18,2026-05-22,0.19695437212479927,0.29096641336092494,0.25385945754128125,0.2582197569729946
2026-07-01,COPPER_MINERS_TR,0.6600000000000001,0.2880791731298258,0.5060975609756098,2023-12-18,2026-06-23,0.18161448191090665,0.3050727009260041,0.24296705436830363,0.2703457627947856
2026-08-03,COPPER_MINERS_TR,0.56,0.2940780225861003,0.5235294117647059,2023-12-18,2026-07-24,0.16682260549578887,0.31046974587366594,0.24097738581088535,0.2817302628196598
2026-09-01,COPPER_MINERS_TR,0.56,0.2703383235654937,0.5657142857142857,2023-12-18,2026-08-24,0.1801643903091424,0.30122208376589626,0.2442151993558632,0.274398326569098
