name,observations,directional_accuracy_50,brier,active_signal_rate,mean_actual_fwd_when_active,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown
NASDAQ100_TR_prediction,246,0.45528455284552843,0.2814719906704513,0.24390243902439024,0.002725228575531069,,,,,,
CHILE_LARGECAP_NTR_prediction,256,0.45703125,0.2704646215928185,0.31640625,0.0013303624240910098,,,,,,
COPPER_MINERS_TR_prediction,256,0.5078125,0.27724440198199424,0.41796875,5.7075773596538226e-05,,,,,,
MFP3_portfolio,261,,,,,-0.052673621167040774,-0.05090433838425257,0.11242975345121427,-0.4087300927628279,-0.4833568775003018,-0.148989127262816
Benchmark_30_30_30,261,,,,,0.345707360959677,0.3319994779103641,0.22159156215772347,1.4048377378606463,2.143139996478593,-0.16226706427094595
BuyHold_NASDAQ100_TR,261,,,,,0.245870375839365,0.23646176651077577,0.19493515608694942,1.1864235676355899,1.7921062183982506,-0.11853547660902297
BuyHold_CHILE_LARGECAP_NTR,261,,,,,0.19346556663587533,0.18620916836110446,0.2699256674441813,0.7667917995078196,1.2637255651177477,-0.22638290329370936
BuyHold_COPPER_MINERS_TR,261,,,,,0.7005066550966408,0.6696573700128279,0.41549453916440066,1.4426539659443063,2.10466894714744,-0.27682225372990055
