Date,portfolio_ret_net,capital_clp,benchmark_30_30_30_ret,benchmark_capital_clp
2017-01-03,0.0,10000000.0,0.0024230567805935796,10024230.567805937
2017-01-04,-0.00045,9995500.0,0.008634193455690874,10110781.713772822
2017-01-05,0.001577786989109753,10011270.769849647,0.002718877149401499,10138271.687136985
2017-01-06,-0.00036705899642358597,10007596.04284794,-0.008690144111241149,10050168.64513685
2017-01-09,0.008929812135448167,10096961.995438028,0.02438785378179309,10295270.68853681
2017-01-10,-0.005528692896856335,10041138.993374022,-0.008413414999107804,10208652.303706001
2017-01-11,0.0033407687976707567,10074684.117216159,0.00920802967471539,10302653.877057377
2017-01-12,-0.0024694412646602327,10049805.27652869,0.005764447412267792,10362042.983538471
2017-01-13,0.0007412429871242132,10057254.624211881,0.007166157145762985,10436299.01190966
2017-01-17,-0.0042984930542256435,10014023.585065128,-0.01768242618942758,10251759.92494077
2017-01-18,-0.00045,10009517.274451848,-0.0028798460995335118,10222236.434107577
2017-01-19,0.0018846552332729915,10028381.763565682,0.0028994069456580117,10251874.857424788
2017-01-20,0.005877793496784294,10087326.520678837,0.02189282545428639,10476317.364257576
2017-01-23,-0.00045,10082787.223744532,-0.015412309492125006,10314853.118701916
2017-01-24,-0.0018632171110958655,10064000.802061712,-0.0005574635018482208,10309102.964561313
2017-01-25,-0.00045,10059472.001700785,0.029060473707416688,10608690.38021
2017-01-26,-0.0016231406993680974,10043144.063280668,-0.01171777494165327,10484380.133909017
2017-01-27,-0.00389418823400145,10004034.16983706,-0.013168496909573989,10346316.606516836
2017-01-30,0.0028536158890795746,10032581.840699,0.006291710027998309,10411412.630462904
2017-01-31,-0.0013846522685141082,10018690.203494223,0.002460574300444796,10437030.684812749
2017-02-01,0.0022109091634590072,10040840.617470985,0.0013410501112351536,10451027.265973583
2017-02-02,-0.0011418596892325162,10029375.386323886,-0.0017081760821830994,10433175.071163602
2017-02-03,-0.0010474455692601858,10018870.161513034,-0.005574686642802562,10375013.389452366
2017-02-06,-0.00025011200807002477,10016364.321778346,-0.002675941541796301,10347250.460126838
2017-02-07,0.0009557272995651011,10025937.23460306,-0.0013789047739867668,10332982.587069733
2017-02-08,0.002723527566565637,10053243.151042158,0.014324779972661305,10481000.289090848
2017-02-09,-0.00045,10048719.191624189,0.0019567235304393193,10501508.708979053
2017-02-10,-0.0035877237743628275,10012667.162878504,0.00828249827773797,10588487.436774822
2017-02-13,0.00252397503948103,10037938.88487624,0.008002935334656923,10673226.417023158
2017-02-14,0.0023725555068404122,10061754.45205488,-0.0009030790780090283,10663587.649551092
2017-02-15,0.0012098517158808163,10073927.68294347,0.004645725310158188,10713127.748591702
2017-02-16,-0.0012157111558121381,10061680.696676472,-0.00905801628653804,10616088.062965197
2017-02-17,0.0013469174547438678,10075232.950030884,-0.004000510080957797,10573618.295648968
2017-02-21,0.0024233022061009636,10099648.284265675,0.011601369194703736,10696286.745220665
2017-02-22,0.00044288962174077184,10104121.313674008,0.0006376825200533176,10703107.58030757
2017-02-23,-0.0005438816583178796,10098625.867418082,-0.009775243131937105,10598482.101442784
2017-02-24,-0.00014811642363243838,10097130.095071,-0.002282140374448427,10574294.877531212
2017-02-27,0.0028519422686048347,10125926.527180733,0.007511524246862232,10653723.949897258
2017-02-28,-0.000896885336534392,10116844.73215968,-0.0014035448142879492,10638770.970894525
2017-03-01,0.005082933596478578,10168267.982139131,0.015371855979680781,10802308.626059921
2017-03-02,-0.0012310392753658638,10155750.444890674,-0.007415021471683681,10722209.275653934
2017-03-03,0.0023978152754968282,10180102.058441566,0.011035758010434504,10840536.982557287
2017-03-06,-0.0002454184157804791,10177603.6739219,-0.0019525970273079228,10819369.782270724
2017-03-07,0.0,10177603.6739219,0.0022591531986304926,10843812.396121508
2017-03-08,0.0,10177603.6739219,-0.00955171685999322,10740235.37043087
2017-03-09,-0.00045,10173023.752268635,0.004595190322911757,10789588.79607087
2017-03-10,0.001811105413289921,10191448.170655895,0.005634236487562538,10850379.89095149
2017-03-13,0.0,10191448.170655895,0.007033346772088722,10926694.375333447
2017-03-14,0.0,10191448.170655895,0.0009281073190261168,10936835.520355957
2017-03-15,0.0,10191448.170655895,0.01454400698391247,11095900.932545915
2017-03-16,0.0,10191448.170655895,-0.0001617531830939822,11094106.13525078
2017-03-17,0.0,10191448.170655895,-0.02019364542496713,10870075.689648572
2017-03-20,-0.00045,10186862.018979099,0.016850844055412637,11053245.639965374
2017-03-21,-0.0054450611655053605,10131393.932201194,-0.011508301591070368,10926041.555580469
2017-03-22,0.001530000326513381,10146894.968225498,0.003619160589688774,10965584.654579725
2017-03-23,0.00042396270261879643,10151196.873239415,0.004904598667337323,11019366.44646315
2017-03-24,0.0012581146270788102,10163968.242507994,0.00492644356509675,11073652.733384773
2017-03-27,-0.0010145319878477888,10153656.571602501,-0.0067319830020811655,10999105.091412678
2017-03-28,0.0041695387793643235,10195992.636430144,0.019603396378277127,11214724.908325966
2017-03-29,0.0018437056363535653,10214791.045522152,0.0026752574901645287,11244727.1851371
2017-03-30,-0.0007880415608289782,10206741.365643095,-0.004268601367886604,11196727.92729311
2017-03-31,-0.00013603710472958052,10205352.87009899,-0.003710305692354088,11155184.643928735
2017-04-03,-0.001629248131185279,10188725.818007294,-0.008160071212275877,11064157.54284819
2017-04-04,-0.00025286041289085404,10186149.49259012,-4.551047312479923e-05,11063654.007803688
2017-04-05,-0.0003595537698893647,10182487.024139402,0.010950497561820937,11184806.524040971
2017-04-06,-0.0006599718864801485,10175766.868969021,-0.0007254618563208417,11176692.373537451
2017-04-07,-0.0010704355966470013,10164874.365889296,-0.003948895068869274,11132556.78813732
2017-04-10,-0.0003363974766156737,10161454.927802496,-0.0003657311650627883,11128485.265173066
2017-04-11,0.0,10161454.927802496,-0.009784419808866619,11019599.493501829
2017-04-12,0.0,10161454.927802496,-0.004708887486267843,10967709.439343194
2017-04-13,-0.00045,10156882.273084987,-0.0004888717638256268,10962347.635884454
2017-04-17,0.0012787735319618138,10169870.62530306,0.0026738367265718875,10991659.163602732
2017-04-18,0.0,10169870.62530306,-0.015458045786427965,10821749.59298295
2017-04-19,-0.00045,10165294.183521673,0.0024548053787244676,10848314.882091016
2017-04-20,0.0011663727743532303,10177150.705900624,0.0025452242792279424,10875926.276517622
2017-04-21,0.0007412152631627533,10184694.165339345,0.0014117661427418327,10891280.541005766
2017-04-24,0.0025700364483471237,10210869.200559536,0.010422229462925592,11004791.965949226
2017-04-25,0.004840477852112646,10260294.686775664,0.006078782925476299,11071687.707450256
2017-04-26,-0.007367874280823871,10184698.125439296,-0.024290955706868036,10802745.831748307
2017-04-27,0.013044740611740541,10317554.87069453,0.030918763238836775,11136753.372449463
2017-04-28,-0.00045,10312911.971002718,-0.001349282494990611,11121726.74607299
2017-05-01,0.004542397438651835,10359757.315924842,0.015004821770425614,11288606.273677193
2017-05-02,-0.00017324936243690026,10357962.494574858,-1.0594928772944458e-05,11288486.671697777
2017-05-03,7.361450297571626e-05,10358724.990835736,-0.01307449454903128,11140895.414241852
2017-05-04,0.0006040650575786843,10364982.334643766,-0.0026750119020871547,11111093.386408845
2017-05-05,0.003842193964582918,10404806.607212944,0.013896474799606474,11265498.41564915
2017-05-08,-0.000994726753236208,10394456.667718502,-0.015784820280890864,11087674.547783466
2017-05-09,0.00436510841474893,10439829.597985502,0.010473668897158395,11203803.1798364
2017-05-10,-0.0004091813097669313,10435557.814836854,0.006074041443103773,11271855.544671103
2017-05-11,0.0,10435557.814836854,-0.005010969569365209,11215372.619546475
2017-05-12,-0.00045,10430861.813820178,0.0017753298944909622,11235283.60583581
2017-05-15,0.0009075242446170638,10440328.073808469,0.005901429098578159,11301587.835438069
