date,asset,strategy,horizon_sessions,threshold,p_up,paper_action,current_usd_price,usdclp,current_clp_value_per_share,expected_clp_return_from_validation,projected_clp_value_horizon
2026-09-22,QQQ,MOMENTUM,20,,,MANTENER (paper),747.4600219726562,943.6500244140625,705340.6679830328,0.017322799978633553,717559.1432912986
2026-09-22,ECH,RF,1,0.52,0.47688389073459964,CASH / NO OPERAR,40.25,943.6500244140625,37981.913482666016,0.011510651665048059,38419.11005833698
2026-09-22,CPER,RF,20,0.54,0.4887906228617884,CASH / NO OPERAR,41.43000030517578,943.6500244140625,39095.42079945374,0.05579373041032097,41276.70016781652
