asset,strategy,horizon,times_selected,avg_validation_fitness,avg_test_return,median_test_return,avg_test_sharpe,positive_test_year_rate,worst_test_return,avg_test_drawdown
CPER,BUYHOLD,5,2,38.49252824857728,0.06359926321692266,0.06359926321692266,0.20166829376986234,0.5,-0.09728290124798877,-0.20721568250172212
CPER,RF,20,1,2.0817032810385077,0.22390553496796128,0.22390553496796128,1.2503854867046078,1.0,0.22390553496796128,-0.09366253758013066
CPER,RF,1,1,0.9213067622644127,0.1754210381990784,0.1754210381990784,1.2933195545367115,1.0,0.1754210381990784,-0.06360050250233562
CPER,MEANREV,5,1,1.6073992742699663,0.0781503031248203,0.0781503031248203,1.441199650815537,1.0,0.0781503031248203,-0.03953255589532789
CPER,HGB,20,1,1.6463086327975007,0.03611372908505861,0.03611372908505861,0.2756887840928125,1.0,0.03611372908505861,-0.16965760034995303
CPER,MEANREV,1,1,72.156033478951,0.027322712801536975,0.027322712801536975,0.7749776193979153,1.0,0.027322712801536975,-0.018487587428394958
CPER,HGB,5,1,0.3938217744566981,-0.0034443574044328296,-0.0034443574044328296,0.038979596224005854,0.0,-0.0034443574044328296,-0.09084144708799635
CPER,HGB,1,1,1.474516403969116,-0.12504002751521892,-0.12504002751521892,-0.7119768221059385,0.0,-0.12504002751521892,-0.22878570770793372
CPER,BUYHOLD,1,1,1.7004101425036557,-0.14957251570847152,-0.14957251570847152,-0.28817831994908777,0.0,-0.14957251570847152,-0.2303607097231546
ECH,HGB,20,2,1.050750695088098,0.09403265524523818,0.09403265524523818,0.3435027634270067,0.5,-0.09494982885088477,-0.1286528633112048
ECH,RF,20,2,1.5342476126988003,-0.009488815719920052,-0.009488815719920052,-0.06158264950509354,0.5,-0.0362630254912234,-0.23917580651539933
ECH,MEANREV,20,1,0.725660800148296,0.08168223314645617,0.08168223314645617,0.966209827027827,1.0,0.08168223314645617,-0.03210442445339412
ECH,HGB,1,1,1.8210877056321402,0.06656298409758943,0.06656298409758943,0.537422323813715,1.0,0.06656298409758943,-0.0896314353827008
ECH,RF,1,1,3.0847744870362095,0.04125138287940566,0.04125138287940566,0.3859731125017751,1.0,0.04125138287940566,-0.09734364133585305
ECH,CASH,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECH,RF,5,1,1.1430328026354617,0.0,0.0,0.0,0.0,0.0,0.0
ECH,BUYHOLD,5,1,86.99845905307835,-0.10175293230447102,-0.10175293230447102,-0.4040441115644869,0.0,-0.10175293230447102,-0.1551173610253408
QQQ,BUYHOLD,20,2,1.2596772744422038,0.283889080712053,0.283889080712053,1.2312593029422263,1.0,0.06546820461303215,-0.17536120375461178
QQQ,BUYHOLD,5,2,41.76849176094936,0.2532824507005432,0.2532824507005432,0.7919524810546583,1.0,0.11077999845054265,-0.23214306086305986
QQQ,MOMENTUM,20,2,1.2117994849998222,0.10072945448125148,0.10072945448125148,0.7696769132202661,1.0,0.07060057214639448,-0.09241285636862806
QQQ,BUYHOLD,1,1,2.391543509625456,0.44888196124463065,0.44888196124463065,1.609606088429223,1.0,0.44888196124463065,-0.13807983127041135
QQQ,MOMENTUM,1,1,71.19133204059115,0.17532155027985552,0.17532155027985552,1.0633278039028378,1.0,0.17532155027985552,-0.06453942782395439
QQQ,CASH,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QQQ,HGB,5,1,2.742719972959707,-0.4544778536202093,-0.4544778536202093,-1.6046584069830312,0.0,-0.4544778536202093,-0.4599175846365152
