,pos_NASDAQ100_TR,ret_NASDAQ100_TR,pos_CHILE_LARGECAP_NTR,ret_CHILE_LARGECAP_NTR,pos_COPPER_MINERS_TR,ret_COPPER_MINERS_TR,portfolio_ret_gross,cost,portfolio_ret_net,capital,cash_weight
2025-09-22,0.0,0.005600147963775726,0.0,0.016844873741722388,0.0,0.011175803720136157,0.0,0.0,0.0,10000000.0,1.0
2025-09-23,0.0,-0.007306101610921156,0.0,0.010299755207611838,0.0,0.004657600609017543,0.0,0.0,0.0,10000000.0,1.0
2025-09-24,0.0,-0.0030988059763499276,0.0,-0.010834781018560835,0.0,0.0009437341562879009,0.0,0.0,0.0,10000000.0,1.0
2025-09-25,0.0,-0.004336488375367931,0.0,-0.020196884965568263,0.0,-0.01198857575444745,0.0,0.0,0.0,10000000.0,1.0
2025-09-26,0.0,0.004383729400319947,0.0,-0.0015408805031447148,0.0,0.014007787521854498,0.0,0.0,0.0,10000000.0,1.0
2025-09-29,0.0,0.004387449240186525,0.0,-0.0037951560580768984,0.0,0.043860854273427785,0.0,0.0,0.0,10000000.0,1.0
2025-09-30,0.0,0.00282340690653915,0.0,-0.004362877602314241,0.0,0.013602353266341627,0.0,0.0,0.0,10000000.0,1.0
2025-10-01,0.0,0.004962919907935515,0.0,0.002111613876319751,0.0,0.0033825458039551393,0.0,0.0,0.0,10000000.0,1.0
2025-10-02,0.0,0.003705634317208384,0.0,-0.01604930447732822,0.0,-0.0005241124059347513,0.0,0.0,0.0,10000000.0,1.0
2025-10-03,0.0,-0.004210302074619032,0.0,0.0019805168665969486,0.0,0.01634663938989811,0.0,0.0,0.0,10000000.0,1.0
2025-10-06,0.0,0.007788174929484359,0.0,-0.006331554927042404,0.0,0.00395564076921584,0.0,0.0,0.0,10000000.0,1.0
2025-10-07,0.0,-0.005537979377528535,0.0,0.005158974027234198,0.0,0.00408598330076404,0.0,0.0,0.0,10000000.0,1.0
2025-10-08,0.0,0.011932142671289725,0.0,0.023876562675977153,0.0,0.039701496309776596,0.0,0.0,0.0,10000000.0,1.0
2025-10-09,0.0,-0.0015119673394091704,0.0,-0.010889891101088955,0.0,0.005056551942092646,0.0,0.0,0.0,10000000.0,1.0
2025-10-10,0.0,-0.03491713577136557,0.0,-0.017650610066090477,0.0,-0.03732214233450848,0.0,0.0,0.0,10000000.0,1.0
2025-10-13,0.0,0.021819424049600356,0.0,0.008377403651771642,0.0,0.030760243468866078,0.0,0.0,0.0,10000000.0,1.0
2025-10-14,0.0,-0.006906265270976375,0.0,0.022870523327612968,0.0,-0.009488348283931303,0.0,0.0,0.0,10000000.0,1.0
2025-10-15,0.0,0.00675532182156191,0.0,0.016416576508772707,0.0,0.008877869311365139,0.0,0.0,0.0,10000000.0,1.0
2025-10-16,0.0,-0.003561117771085587,0.0,0.006880167839071971,0.0,-0.007695966630483775,0.0,0.0,0.0,10000000.0,1.0
2025-10-17,0.0,0.006517934001911252,0.0,-0.0055002298146162865,0.0,-0.029830383480825895,0.0,0.0,0.0,10000000.0,1.0
2025-10-20,0.0,0.013017469198834508,0.0,0.008365300180246615,0.0,0.020777114768221194,0.0,0.0,0.0,10000000.0,1.0
2025-10-21,0.0,-0.0005524675519464894,0.0,0.0026277996761083777,0.0,-0.035328211683814725,0.0,0.0,0.0,10000000.0,1.0
2025-10-22,0.0,-0.009874877370910973,0.0,-0.012860756407521268,0.0,-0.009366174985365294,0.0,0.0,0.0,10000000.0,1.0
2025-10-23,0.0,0.00877902168578526,0.0,0.018029699607915672,0.0,0.012591154373136959,0.0,0.0,0.0,10000000.0,1.0
2025-10-24,0.0,0.010390131867937136,0.0,0.00048521607278240175,0.0,0.009523137697517114,0.0,0.0,0.0,10000000.0,1.0
2025-10-27,0.0,0.018273354526324947,0.0,0.010123973204813286,0.0,-0.0010799067468761914,0.0,0.0,0.0,10000000.0,1.0
2025-10-28,0.0,0.007394865810224527,0.0,0.003495873968492269,0.0,0.012667645992712417,0.0,0.0,0.0,10000000.0,1.0
2025-10-29,0.0,0.0041479105988373455,0.0,0.007640207526576237,0.0,0.020145312509812108,0.0,0.0,0.0,10000000.0,1.0
2025-10-30,0.0,-0.014740930494838933,0.0,0.009377689408552659,0.0,-0.012816172261174152,0.0,0.0,0.0,10000000.0,1.0
2025-10-31,0.0,0.004887769730315128,0.0,-0.0002793049716284246,0.0,-0.0010974689622058609,0.0,0.0,0.0,10000000.0,1.0
2025-11-03,0.0,0.00444025050309782,0.0,0.014483803137912199,0.0,-0.015749751861816708,0.0,0.0,0.0,10000000.0,1.0
2025-11-04,0.0,-0.02067299189283245,0.0,-0.025872564935064846,0.0,-0.03930995116382319,0.0,0.0,0.0,10000000.0,1.0
2025-11-05,0.0,0.0072468341422951,0.0,0.010534616929783969,0.0,0.016029365163198417,0.0,0.0,0.0,10000000.0,1.0
2025-11-06,0.0,-0.019125338913177137,0.0,0.0017963631009350056,0.0,0.00734892787524366,0.0,0.0,0.0,10000000.0,1.0
2025-11-07,0.0,-0.0027743262947101943,0.0,0.008230815585637208,0.0,0.011146157865201234,0.0,0.0,0.0,10000000.0,1.0
2025-11-10,0.0,0.02215550804752975,0.0,0.004664927037625555,0.0,0.02655668893014118,0.0,0.0,0.0,10000000.0,1.0
2025-11-11,0.0,-0.0030553324662577763,0.0,0.009155941204637585,0.0,4.9713525807515424e-05,0.0,0.0,0.0,10000000.0,1.0
2025-11-12,0.0,-0.0006237705916827263,0.0,0.028829010180019488,0.0,0.01673398371962964,0.0,0.0,0.0,10000000.0,1.0
2025-11-13,0.0,-0.020514701304800598,0.0,-0.018587620365323576,0.0,-0.020712247055731825,0.0,0.0,0.0,10000000.0,1.0
2025-11-14,0.0,0.0007129759649711076,0.0,-0.021574128134656756,0.0,-0.010029082466892159,0.0,0.0,0.0,10000000.0,1.0
2025-11-17,0.0,-0.00831037146073721,0.0,0.032805495721022204,0.0,-0.01611327201548285,0.0,0.0,0.0,10000000.0,1.0
2025-11-18,0.0,-0.011946321196755871,0.0,-0.025436148924776525,0.0,-0.019407833614188408,0.0,0.0,0.0,10000000.0,1.0
2025-11-19,0.0,0.005615486921826562,0.0,0.007764940642306595,0.0,0.02177833535892093,0.0,0.0,0.0,10000000.0,1.0
2025-11-20,0.0,-0.0236053035869348,0.0,-0.0016070249949780013,0.0,-0.031187849720223815,0.0,0.0,0.0,10000000.0,1.0
2025-11-21,0.0,0.007769398612152978,0.0,-0.009054065706648351,0.0,0.0016039815707138416,0.0,0.0,0.0,10000000.0,1.0
2025-11-24,0.0,0.02618053210283633,0.0,-0.0006816336001856937,0.0,0.027461266236547655,0.0,0.0,0.0,10000000.0,1.0
2025-11-25,0.0,0.005814043869603935,0.0,0.015310935345766108,0.0,0.015278241013931382,0.0,0.0,0.0,10000000.0,1.0
2025-11-26,0.0,0.008797588382829291,0.0,0.011192109777015347,0.0,0.02544064691389214,0.0,0.0,0.0,10000000.0,1.0
2025-11-27,0.0,0.0,0.0,0.006983023055284754,0.0,0.001115101930173612,0.0,0.0,0.0,10000000.0,1.0
2025-11-28,0.0,0.007881148743358324,0.0,0.001881044962589673,0.0,0.02747726125860006,0.0,0.0,0.0,10000000.0,1.0
2025-12-01,0.0,-0.0036188373599596035,0.0,0.003853105603116136,0.0,0.01031965165934956,0.0,0.0,0.0,10000000.0,1.0
2025-12-02,0.0,0.008405265317357635,0.0,0.008639700750914026,0.0,-0.0057088317939840705,0.0,0.0,0.0,10000000.0,1.0
2025-12-03,0.0,0.002042437637248984,0.0,0.013381304919394044,0.0,0.039094220828389536,0.0,0.0,0.0,10000000.0,1.0
2025-12-04,0.0,-0.0009155370492144321,0.0,0.007633275071007084,0.0,0.004980491163644851,0.0,0.0,0.0,10000000.0,1.0
2025-12-05,0.0,0.0044304369313044045,0.0,-0.00266970226721408,0.0,0.008592733002946051,0.0,0.0,0.0,10000000.0,1.0
2025-12-08,0.0,-0.0024204060622512458,0.0,-0.0033970160610918843,0.0,-0.010053607920612717,0.0,0.0,0.0,10000000.0,1.0
2025-12-09,0.0,0.0015964470629385996,0.0,-0.010130344677137915,0.0,-0.005992783499259469,0.0,0.0,0.0,10000000.0,1.0
2025-12-10,0.0,0.004211106376571072,0.0,0.008829079489263147,0.0,0.017114520592076188,0.0,0.0,0.0,10000000.0,1.0
2025-12-11,0.0,-0.0034819905730385514,0.0,0.029791649599956394,0.0,0.021362638854324656,0.0,0.0,0.0,10000000.0,1.0
2025-12-12,0.0,-0.01903857851768842,0.0,0.010315019092066224,0.0,-0.008134853611398762,0.0,0.0,0.0,10000000.0,1.0
2025-12-15,0.0,-0.005059344987472403,0.0,-0.014710899976378644,0.0,0.00830206797981159,0.0,0.0,0.0,10000000.0,1.0
2025-12-16,0.0,0.002619950395780668,0.0,-0.017940624125943883,0.0,-0.005210438596005562,0.0,0.0,0.0,10000000.0,1.0
2025-12-17,0.0,-0.019310535714168853,0.0,-0.010754875634035987,0.0,0.007068986630152763,0.0,0.0,0.0,10000000.0,1.0
2025-12-18,0.0,0.015082927577860783,0.0,0.010391960625711238,0.0,0.007837371772196677,0.0,0.0,0.0,10000000.0,1.0
2025-12-19,0.0,0.013062385915694641,0.0,0.01785641596222476,0.0,0.016040933171004523,0.0,0.0,0.0,10000000.0,1.0
2025-12-22,0.0,0.004618727110341725,0.0,0.00498566953276014,0.0,0.02757042386558073,0.0,0.0,0.0,10000000.0,1.0
2025-12-23,0.0,0.004953679544080547,0.0,0.0019896801920704643,0.0,0.018736310202280837,0.0,0.0,0.0,10000000.0,1.0
2025-12-24,0.0,0.0026786391382083163,0.0,-0.00014562014323726835,0.0,8.765326431081633e-05,0.0,0.0,0.0,10000000.0,1.0
2025-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,1.0
2025-12-26,0.0,-0.00045827986734880977,0.0,0.011664548247007911,0.0,0.01108458829776815,0.0,0.0,0.0,10000000.0,1.0
2025-12-29,0.0,-0.004608305273532509,0.0,-0.00459369969506207,0.0,-0.012242941569401422,0.0,0.0,0.0,10000000.0,1.0
2025-12-30,0.0,-0.002468303892241175,0.0,0.011320308185858163,0.0,0.010923432724869953,0.0,0.0,0.0,10000000.0,1.0
2025-12-31,0.0,-0.008314448845263778,0.0,-0.001014053744848642,0.0,-0.006796780848499662,0.0,0.0,0.0,10000000.0,1.0
2026-01-01,0.0,0.0,0.0,0.0,0.0,9.768788207531465e-05,0.0,0.0,0.0,10000000.0,1.0
2026-01-02,0.0,-0.0016179612255869946,0.0,-0.007769289832250892,0.0,0.01400913035431528,0.0,0.0,0.0,10000000.0,1.0
2026-01-05,0.0,0.00774220691544536,0.0,0.02120822622107954,0.0,0.04373837082553811,0.0,0.0,0.0,10000000.0,1.0
2026-01-06,0.0,0.009384712026431652,0.0,0.032660767264740986,0.0,0.02180523442205695,0.0,0.0,0.0,10000000.0,1.0
2026-01-07,0.0,0.0005533972208944249,0.0,-0.01192726730013427,0.0,-0.018658756304758106,0.0,0.0,0.0,10000000.0,1.0
2026-01-08,0.0,-0.0057218976986473935,0.0,0.00639436087859524,0.0,-0.014687645326306065,0.0,0.0,0.0,10000000.0,1.0
2026-01-09,0.0,0.01018181396273743,0.0,0.004940402486460771,0.0,0.026455260570304784,0.0,0.0,0.0,10000000.0,1.0
2026-01-12,0.0,0.000830786576862641,0.0,0.018233185642455352,0.0,0.030371537639919177,0.0,0.0,0.0,10000000.0,1.0
2026-01-13,0.0,-0.0017724036120055908,0.0,0.009851735054331234,0.0,0.002208049385929778,0.0,0.0,0.0,10000000.0,1.0
2026-01-14,0.0,-0.010657455093099788,0.0,0.0013677241312530786,0.0,0.021568018107858578,0.0,0.0,0.0,10000000.0,1.0
2026-01-15,0.0,0.00318587498587819,0.0,-0.017490209350674468,0.0,0.00019523534940324438,0.0,0.0,0.0,10000000.0,1.0
2026-01-16,0.0,-0.000697250894489021,0.0,0.006606384941871157,0.0,-0.015470516137818247,0.0,0.0,0.0,10000000.0,1.0
2026-01-19,0.0,0.0,0.0,0.0018210261298916564,0.0,0.0036748093433294216,0.0,0.0,0.0,10000000.0,1.0
2026-01-20,0.0,-0.02121868674038152,0.0,-9.759549108834253e-05,0.0,0.010667083182116954,0.0,0.0,0.0,10000000.0,1.0
2026-01-21,0.0,0.013567432372552313,0.0,0.013945316789282902,0.0,0.01245903427711692,0.0,0.0,0.0,10000000.0,1.0
2026-01-22,0.0,0.007571980879531148,0.0,0.03248862897985716,0.0,-0.02532975370608148,0.0,0.0,0.0,10000000.0,1.0
2026-01-23,0.0,0.0034138356011708115,0.0,0.0043120527702025235,0.0,0.037157991708890004,0.0,0.0,0.0,10000000.0,1.0
2026-01-26,0.0,0.004207672236233195,0.0,0.01559598960267361,0.0,0.03020868955042255,0.0,0.0,0.0,10000000.0,1.0
2026-01-27,0.0,0.008810053031666598,0.0,0.012100091407678093,0.0,0.017023826459569902,0.0,0.0,0.0,10000000.0,1.0
2026-01-28,0.0,0.003221799352914889,0.0,0.0022465821470101233,0.0,0.014704261650234418,0.0,0.0,0.0,10000000.0,1.0
2026-01-29,0.0,-0.0053075675875441375,0.0,-0.010103854558561887,0.0,0.026041514367948215,0.0,0.0,0.0,10000000.0,1.0
2026-01-30,0.0,-0.012725408964088913,0.0,0.0011720394624550323,0.0,-0.0759218470733366,0.0,0.0,0.0,10000000.0,1.0
2026-02-02,0.0,0.0072879184530236785,0.0,0.005307783233315044,0.0,-0.00584210456750367,0.0,0.0,0.0,10000000.0,1.0
2026-02-03,0.0,-0.015540424678578746,0.0,0.02048591875727812,0.0,0.0675923012492965,0.0,0.0,0.0,10000000.0,1.0
2026-02-04,0.0,-0.01765601504003289,0.0,-0.012773783277755024,0.0,-0.04573285899899948,0.0,0.0,0.0,10000000.0,1.0
2026-02-05,0.0,-0.013762081320399022,0.0,-0.019189765458422214,0.0,-0.047559182537127875,0.0,0.0,0.0,10000000.0,1.0
2026-02-06,0.0,0.02147104316908055,0.0,0.005617848970251638,0.0,0.023334201115328357,0.0,0.0,0.0,10000000.0,1.0
2026-02-09,0.0,0.007746663297269585,0.0,0.011719061109783713,0.0,0.04639423720643765,0.0,0.0,0.0,10000000.0,1.0
2026-02-10,0.0,-0.005524574370996516,0.0,-0.02515716197523643,0.0,-0.012800006824395638,0.0,0.0,0.0,10000000.0,1.0
2026-02-11,0.0,0.0029391949346555535,0.0,0.012562872040976503,0.0,0.027016400808807184,0.0,0.0,0.0,10000000.0,1.0
2026-02-12,0.0,-0.020382002767209695,0.0,-0.01751107971699728,0.0,-0.033899160724427446,0.0,0.0,0.0,10000000.0,1.0
2026-02-13,0.0,0.0019499867348973243,0.0,-0.024931583097546284,0.0,0.001885502532147365,0.0,0.0,0.0,10000000.0,1.0
2026-02-16,0.0,0.0,0.0,0.005958185667055194,0.0,-0.0004476703755216249,0.0,0.0,0.0,10000000.0,1.0
2026-02-17,0.0,-0.001216951203346528,0.0,-0.017555889202832575,0.0,-0.034999152089121854,0.0,0.0,0.0,10000000.0,1.0
2026-02-18,0.0,0.007994829555622474,0.0,0.010793964044186755,0.0,0.026202191701812927,0.0,0.0,0.0,10000000.0,1.0
2026-02-19,0.0,-0.00392528527204572,0.0,-0.0178335456374481,0.0,-0.007240617713826447,0.0,0.0,0.0,10000000.0,1.0
2026-02-20,0.0,0.008686554525522583,0.0,-0.0064847698815772015,0.0,0.02452077454510082,0.0,0.0,0.0,10000000.0,1.0
2026-02-23,0.0,-0.012127719253070435,0.0,0.002403435570846435,0.0,0.01727264093110792,0.0,0.0,0.0,10000000.0,1.0
2026-02-24,0.0,0.010850625034702022,0.0,0.005781191047064871,0.0,0.03089471606992067,0.0,0.0,0.0,10000000.0,1.0
2026-02-25,0.0,0.014094906934606133,0.0,0.020620053728308996,0.0,0.022003219180055877,0.0,0.0,0.0,10000000.0,1.0
