final_capital_clp,max_drawdown
17748700.19793542,-0.1487919009171098
28603126.7986269,-0.07021640666063789
23634423.398588985,-0.12036680353982887
24779604.46388204,-0.07610166146250297
31122243.665505696,-0.0635655306891354
24608446.018936772,-0.08853651561311338
30109139.038535904,-0.11458503912588991
20801529.057647157,-0.12901473097092486
24156362.06732702,-0.1412278417398306
24296144.298897117,-0.10035643069753686
29535012.595515963,-0.10769433283295082
23191366.508219574,-0.07689284257269502
20769963.269994184,-0.12949271460477307
32998125.823496785,-0.07183284179344074
25036542.81023183,-0.09146113287904878
21422934.3294318,-0.08102991499715662
29617476.528456375,-0.11672899475301168
23154138.133912686,-0.08629928359315864
24303133.143835712,-0.0913805995234318
28609324.79288782,-0.07873915061181525
24538649.7640456,-0.08732158915458732
22734038.026738115,-0.08141704397010352
21102430.074366998,-0.06616357567655562
20657546.140128847,-0.06691073351051102
16850462.307109855,-0.09124134457394173
25704709.97252826,-0.0823874519425839
25356680.77639501,-0.09096959071762079
25518717.870442886,-0.09994053610771625
23026534.24607759,-0.09009636373554342
29403799.361409392,-0.08321480575445717
18298372.238462143,-0.11603991046939577
27673886.73527413,-0.12027310090480847
29318743.473361544,-0.0716618345131036
16638186.178953942,-0.16749258447850113
26004097.17299763,-0.11143725925593839
31246267.32931213,-0.07430032084082949
31367688.96687176,-0.11959719190106488
25452787.526334114,-0.08109724913221206
17859693.179719422,-0.1213825928325637
29829202.213466465,-0.09548881083618088
27664542.958024208,-0.07301900885819701
21043574.719353665,-0.07502496895201594
22197878.978346583,-0.1188841855812649
26714907.09257059,-0.12117084281282797
33636112.922015205,-0.049076613175469186
27417936.821188148,-0.1167733549450487
30008163.956241976,-0.08024510392514905
22791847.101231236,-0.15671622447879852
19990239.217358775,-0.07347024198117613
21485696.25291207,-0.07492057749013625
15500219.801991122,-0.09912662651948467
29041259.883102443,-0.05986546978902385
18358651.496933,-0.11467096681674238
21239959.378782175,-0.07590157851194845
30113054.404573917,-0.06769040807229254
22144799.49084502,-0.12866834911141034
32030372.338709936,-0.05950452753844826
23543339.599236347,-0.10084597651358451
25586313.708319478,-0.06914143935608519
28889418.333853398,-0.0957241218684105
16495481.038278263,-0.1256554929811966
23140328.039864596,-0.1496362039161918
24867248.324760415,-0.07794007485337862
23003366.927361585,-0.0715507801050681
28683351.695818927,-0.06098001506184847
27726418.37483925,-0.08687640462013124
28330093.25836145,-0.11205554861674571
27915202.45242248,-0.10037000829085851
32559860.19885658,-0.08757061213360584
27300062.003757194,-0.07726158832025953
20104833.432476975,-0.127841215924554
26459450.120072737,-0.10875124071876396
34203299.800616235,-0.046665307737685846
28836846.07508853,-0.0635655306891354
22062974.909353912,-0.09895796198768447
22878709.696322512,-0.1575808507053469
48759865.8274886,-0.051869968640727904
26255951.771166325,-0.14051115739999331
27493076.637166847,-0.05787363820494251
27300703.97301194,-0.048734645397149
23391197.52180979,-0.11084920461431236
34678645.01747652,-0.043824480029086677
18664883.597622443,-0.15480765401526275
25614923.56822539,-0.16814608957709165
25969308.43313978,-0.08955502183606334
19564221.153285608,-0.12407485204250035
25435462.35120304,-0.09240723173894794
17232872.079711918,-0.15256635780599992
18110875.39885267,-0.07230760929370772
25230490.88145587,-0.11689993844868007
26678190.55396823,-0.2041644326835772
25954541.54670378,-0.06714874897812018
21910722.01818193,-0.11825305659341812
25035984.543441433,-0.10482326194264224
30417972.81608451,-0.12441516809543884
21465154.53275954,-0.08841591237157975
20422564.540811777,-0.09229732697259907
22284215.442290097,-0.08131748071518285
21874736.235885456,-0.10729675239945469
28423626.53730096,-0.126097515977188
18264939.71424341,-0.09668298058432123
33799812.7286063,-0.03659248491351108
27103960.173066616,-0.08644256350057
26636913.65673368,-0.058721597515863255
20268735.80801441,-0.10733420630968782
27549609.888241872,-0.11487955560143681
27550697.887716256,-0.10206850834896686
28395242.94663936,-0.059166392034947224
28333892.541860975,-0.06356553068913551
21578700.53389099,-0.1538699838853128
25113832.289118182,-0.07058920960379145
17692968.59500332,-0.08709803471894473
22931981.398733053,-0.12989621127148376
21049967.139818717,-0.06850639702736194
29466644.097098444,-0.08215220062682516
19811210.460712854,-0.07429639132817267
38744234.47697421,-0.04826304743081611
18078857.9808623,-0.10667125339576378
29381774.684495136,-0.07480021696886618
22969678.441160943,-0.06742115713198404
24806859.403833177,-0.10484148250862191
36893768.666319616,-0.08001262561850109
34931482.18522946,-0.08410643348667057
25311136.406759556,-0.08240651309864788
23165406.62065657,-0.09456208843996039
25240145.72660194,-0.07327543974909079
26078360.55434429,-0.17347592543722878
42846342.84441228,-0.03760139435336951
35393706.796377584,-0.09069472889652197
33462690.29337976,-0.1454077498989742
32021859.112848535,-0.09191318351448219
22012907.106645677,-0.11081615395957134
31818209.409919124,-0.03642713531027686
33902851.28031875,-0.10078045147088543
16519652.407246692,-0.09568874053549437
32113107.611466214,-0.0635655306891354
38074638.62133384,-0.057670651624922686
22460125.298621353,-0.06426090809759089
26691248.879731394,-0.08955502183606334
20221873.221090186,-0.1981924451980519
18450954.892857518,-0.20073163930251947
22054521.058405638,-0.07870652058438055
30200961.97975859,-0.06862565336228088
26778305.236322235,-0.08685175674666146
29225458.93421551,-0.0450473412816772
28646717.02857101,-0.11652095136723362
25382254.872433472,-0.053660043373401245
