asset,test_year,ensemble,total_return,cagr,sharpe,max_drawdown,ann_vol,utility,members_json,mean_position,turnover
ECH,2018,RF:0.36 + RF:0.33 + RF:0.31,0.035713251768565435,0.03585805675491183,0.5813650456140155,-0.037045456293106516,0.06410152886295842,0.5697851371424941,"[{""strategy"": ""RF"", ""horizon"": 5, ""threshold"": 0.6, ""weight"": 0.3577622491753229}, {""strategy"": ""RF"", ""horizon"": 20, ""threshold"": 0.6, ""weight"": 0.33174236959266534}, {""strategy"": ""RF"", ""horizon"": 20, ""threshold"": 0.64, ""weight"": 0.3104953812320117}]",0.12729478071034586,3.6209907624640234
ECH,2019,LOGIT:0.44 + RF:0.35 + RF:0.22,-0.07130335696682188,-0.07130335696682188,-0.2851909970012428,-0.16982675506764078,0.19418482460051564,-0.4205345627335969,"[{""strategy"": ""LOGIT"", ""horizon"": 5, ""threshold"": 0.56, ""weight"": 0.4382953838456491}, {""strategy"": ""RF"", ""horizon"": 20, ""threshold"": 0.52, ""weight"": 0.3455654522635976}, {""strategy"": ""RF"", ""horizon"": 5, ""threshold"": 0.6, ""weight"": 0.21613916389075338}]",0.7292863585600143,3.2161391638907535
ECH,2020,RF:0.46 + RF:0.35 + HGB:0.19,-0.05457379360197123,-0.054364059708044477,0.02490648145304166,-0.33402419217709434,0.35647545929918995,-0.2113100712227596,"[{""strategy"": ""RF"", ""horizon"": 5, ""threshold"": 0.6, ""weight"": 0.4621738404596531}, {""strategy"": ""RF"", ""horizon"": 20, ""threshold"": 0.64, ""weight"": 0.35152607016259096}, {""strategy"": ""HGB"", ""horizon"": 1, ""threshold"": 0.56, ""weight"": 0.18630008937775605}]",0.45468681355670904,6.221295540594125
ECH,2021,RF:0.34 + HGB:0.33 + RF:0.33,0.02722386208269323,0.02722386208269323,0.4204659411077359,-0.048161705168964786,0.06966631865924534,0.3986891844768514,"[{""strategy"": ""RF"", ""horizon"": 20, ""threshold"": 0.64, ""weight"": 0.3382001704014777}, {""strategy"": ""HGB"", ""horizon"": 1, ""threshold"": 0.56, ""weight"": 0.33099037864251163}, {""strategy"": ""RF"", ""horizon"": 5, ""threshold"": 0.6, ""weight"": 0.33080945095601066}]",0.08536732275753271,2.6475611737670914
ECH,2022,RF:1.00,0.3200815143390656,0.3215427928110943,0.940400849364225,-0.18246881975526352,0.3682943198259773,0.9338246465419765,"[{""strategy"": ""RF"", ""horizon"": 5, ""threshold"": 0.6, ""weight"": 1.0}]",0.6533864541832669,5.0
ECH,2023,LOGIT:0.40 + LOGIT:0.36 + LOGIT:0.24,0.017446635545824263,0.01758742889155429,0.9350203592629343,-0.004588606565679165,0.018834271633372514,0.9381440874362813,"[{""strategy"": ""LOGIT"", ""horizon"": 1, ""threshold"": 0.56, ""weight"": 0.40001660428187047}, {""strategy"": ""LOGIT"", ""horizon"": 1, ""threshold"": 0.64, ""weight"": 0.35633399512454633}, {""strategy"": ""LOGIT"", ""horizon"": 1, ""threshold"": 0.6, ""weight"": 0.24364940059358312}]",0.012873320097509073,1.2873320097509071
ECH,2024,RF:0.35 + RF:0.33 + RF:0.31,0.0007449652553390695,0.0007449652553390695,0.04208486301404127,-0.03928267125282503,0.059287151180568536,0.016811864539073674,"[{""strategy"": ""RF"", ""horizon"": 20, ""threshold"": 0.6, ""weight"": 0.35344487208332026}, {""strategy"": ""RF"", ""horizon"": 5, ""threshold"": 0.56, ""weight"": 0.3341661550759262}, {""strategy"": ""RF"", ""horizon"": 5, ""threshold"": 0.6, ""weight"": 0.31238897284075356}]",0.10914460748559467,1.3752220543184928
ECH,2025,RF:0.46 + BUYHOLD:0.31 + VOLTARGET10:0.23,0.2496833206260538,0.2519136455846054,1.5333885060440364,-0.08461247661999183,0.15430727408408712,1.5657795584601604,"[{""strategy"": ""RF"", ""horizon"": 20, ""threshold"": 0.6, ""weight"": 0.45975919012142774}, {""strategy"": ""BUYHOLD"", ""horizon"": 0, ""threshold"": NaN, ""weight"": 0.3122228888115685}, {""strategy"": ""VOLTARGET10"", ""horizon"": 0, ""threshold"": NaN, ""weight"": 0.22801792106700375}]",0.4859490252681563,1.6039183526561074
ECH,2026,RF:0.42 + HGB:0.32 + LOGIT:0.26,0.034787446596032945,0.048761512685470576,0.3302519353033108,-0.10729607879203351,0.2114280751471797,0.27268509039710054,"[{""strategy"": ""RF"", ""horizon"": 20, ""threshold"": 0.6, ""weight"": 0.41535289494774535}, {""strategy"": ""HGB"", ""horizon"": 1, ""threshold"": 0.52, ""weight"": 0.3237959936989595}, {""strategy"": ""LOGIT"", ""horizon"": 1, ""threshold"": 0.6, ""weight"": 0.260851111353295}]",0.5851152777938223,1.9370551176543351
CPER,2017,CASH:1.00,0.0,0.0,0.0,0.0,0.0,0.0,"[{""strategy"": ""CASH"", ""horizon"": 0, ""threshold"": NaN, ""weight"": 1.0}]",0.0,0.0
CPER,2018,VOLTARGET10:0.41 + VOLTARGET15:0.35 + VOLTARGET20:0.25,-0.05173991866976846,-0.05194060542993473,-0.30282510790691286,-0.10695323527527689,0.14263488563735396,-0.39045368237026185,"[{""strategy"": ""VOLTARGET10"", ""horizon"": 0, ""threshold"": NaN, ""weight"": 0.4058937359211233}, {""strategy"": ""VOLTARGET15"", ""horizon"": 0, ""threshold"": NaN, ""weight"": 0.3484497402965793}, {""strategy"": ""VOLTARGET20"", ""horizon"": 0, ""threshold"": NaN, ""weight"": 0.24565652378229746}]",0.6165380726747364,2.914449934133157
CPER,2019,MEANREV:0.72 + VOLTARGET10:0.15 + VOLTARGET15:0.13,0.02830968879349771,0.02830968879349771,0.4982475005035763,-0.036742756438998825,0.059595007224600316,0.48427309989595124,"[{""strategy"": ""MEANREV"", ""horizon"": 0, ""threshold"": NaN, ""weight"": 0.7221960807698984}, {""strategy"": ""VOLTARGET10"", ""horizon"": 0, ""threshold"": NaN, ""weight"": 0.1475232122964797}, {""strategy"": ""VOLTARGET15"", ""horizon"": 0, ""threshold"": NaN, ""weight"": 0.13028070693362184}]",0.22397395972653542,5.477157997041393
CPER,2020,HGB:0.37 + HGB:0.33 + LOGIT:0.30,0.034703563232635126,0.03456405135628127,0.42026550700309895,-0.06819851175144565,0.09054961063794507,0.3880827214960816,"[{""strategy"": ""HGB"", ""horizon"": 5, ""threshold"": 0.64, ""weight"": 0.3690646640159875}, {""strategy"": ""HGB"", ""horizon"": 20, ""threshold"": 0.52, ""weight"": 0.32885838796322786}, {""strategy"": ""LOGIT"", ""horizon"": 20, ""threshold"": 0.56, ""weight"": 0.3020769480207846}]",0.1725447601845542,4.933012284004797
CPER,2021,LOGIT:0.46 + LOGIT:0.29 + LOGIT:0.25,0.130700774693989,0.130700774693989,1.4880106636682193,-0.028074934162624188,0.08494937067748236,1.5155072276054096,"[{""strategy"": ""LOGIT"", ""horizon"": 20, ""threshold"": 0.56, ""weight"": 0.45722562336802497}, {""strategy"": ""LOGIT"", ""horizon"": 20, ""threshold"": 0.6, ""weight"": 0.2889549807217501}, {""strategy"": ""LOGIT"", ""horizon"": 20, ""threshold"": 0.52, ""weight"": 0.25381939591022495}]",0.11331438530313988,4.5779099614435
CPER,2022,LOGIT:0.38 + LOGIT:0.32 + LOGIT:0.30,-0.03979144290239611,-0.03994676519406104,0.038726564939039684,-0.18656592123125681,0.32642855269872467,-0.0964682888771159,"[{""strategy"": ""LOGIT"", ""horizon"": 20, ""threshold"": 0.56, ""weight"": 0.3808934464595367}, {""strategy"": ""LOGIT"", ""horizon"": 20, ""threshold"": 0.6, ""weight"": 0.3232241369484456}, {""strategy"": ""LOGIT"", ""horizon"": 20, ""threshold"": 0.52, ""weight"": 0.2958824165920178}]",0.7465493199811067,3.646448273896891
CPER,2023,LOGIT:0.36 + LOGIT:0.32 + LOGIT:0.32,0.048325674790715256,0.04872154945581775,0.5022808046797007,-0.06578156203943986,0.10575599608586307,0.47643677553081515,"[{""strategy"": ""LOGIT"", ""horizon"": 20, ""threshold"": 0.6, ""weight"": 0.3570473123264637}, {""strategy"": ""LOGIT"", ""horizon"": 20, ""threshold"": 0.52, ""weight"": 0.32147634383676815}, {""strategy"": ""LOGIT"", ""horizon"": 20, ""threshold"": 0.56, ""weight"": 0.32147634383676815}]",0.19700668813714753,8.92885806302061
CPER,2024,LOGIT:0.52 + LOGIT:0.29 + HGB:0.19,0.10898672800398157,0.10898672800398157,0.7725457745942323,-0.06971516969566183,0.1480910469844554,0.7653762690934457,"[{""strategy"": ""LOGIT"", ""horizon"": 5, ""threshold"": 0.6, ""weight"": 0.5156216896720783}, {""strategy"": ""LOGIT"", ""horizon"": 20, ""threshold"": 0.64, ""weight"": 0.2902490551146713}, {""strategy"": ""HGB"", ""horizon"": 20, ""threshold"": 0.6, ""weight"": 0.19412925521325045}]",0.29314736836195626,4.776517020853002
CPER,2025,LOGIT:0.42 + LOGIT:0.30 + LOGIT:0.28,0.19980744797318795,0.20155718840350167,1.639299368244228,-0.0643562937588883,0.11614205606170255,1.6674003840915665,"[{""strategy"": ""LOGIT"", ""horizon"": 20, ""threshold"": 0.64, ""weight"": 0.4181568867060704}, {""strategy"": ""LOGIT"", ""horizon"": 5, ""threshold"": 0.64, ""weight"": 0.29980614819023}, {""strategy"": ""LOGIT"", ""horizon"": 5, ""threshold"": 0.56, ""weight"": 0.2820369651036996}]",0.3453623711268992,6.01776918308653
CPER,2026,LOGIT:0.43 + LOGIT:0.31 + LOGIT:0.27,0.166891104198029,0.23972110296121008,0.9382160735007669,-0.10526553148172679,0.266883645720811,0.9282053645069546,"[{""strategy"": ""LOGIT"", ""horizon"": 20, ""threshold"": 0.64, ""weight"": 0.42515462974753276}, {""strategy"": ""LOGIT"", ""horizon"": 20, ""threshold"": 0.6, ""weight"": 0.30767701481276793}, {""strategy"": ""LOGIT"", ""horizon"": 20, ""threshold"": 0.56, ""weight"": 0.26716835543969936}]",0.747711833023196,11.0
