Date,year,target_position,position_asset,turnover_asset,gross_asset_ret,net_asset_ret,ensemble_p_up,daily_ret_clp,price_usd,usdclp,price_clp,asset
2017-01-03,2017,1.0,0.0,0.0,0.0,0.0,0.6939582574111006,0.012537721647307265,112.04057312011719,656.97998046875,73608.41354016215,QQQ
2017-01-03,2017,0.0,0.0,0.0,-0.0,-0.0,,-0.003192724490651888,16.239999771118164,656.97998046875,10669.354732441716,CPER
2017-01-03,2017,0.0,0.0,0.0,-0.0,-0.0,0.31012732642085106,-0.00126807133389506,27.309417724609375,656.97998046875,17941.740723326802,ECH
2017-01-04,2017,1.0,0.0,1.0,0.0,-0.0015,0.7505501374486313,0.004565248885725959,112.6498031616211,656.4099731445312,73944.45426805643,QQQ
2017-01-04,2017,0.0,0.0,0.0,0.0,0.0,,0.023741531366673563,16.639999389648438,656.4099731445312,10922.661552484147,CPER
2017-01-04,2017,0.0,0.0,0.0,0.0,0.0,0.3261142488064853,0.00047393300569487096,27.346086502075195,656.4099731445312,17950.243906435207,ECH
2017-01-05,2017,1.0,1.0,0.0,0.0052591545640277015,0.0052591545640277015,0.7339061084608839,0.0052591545640277015,113.287109375,656.1500244140625,74333.33958220482,QQQ
2017-01-05,2017,0.0,0.0,0.0,-0.0,-0.0,,-0.010007583772215445,16.479999542236328,656.1500244140625,10813.352101982106,CPER
2017-01-05,2017,0.0,0.0,0.0,0.0,0.0,0.3353053794778079,0.013811147918971756,27.734750747680664,656.1500244140625,18198.157380208606,ECH
2017-01-06,2017,1.0,1.0,0.0,-0.001222862033486538,-0.001222862033486538,0.804195245283159,-0.001222862033486538,114.28067016601562,649.6500244140625,74242.44016340747,QQQ
2017-01-06,2017,0.0,0.0,0.0,-0.0,-0.0,,-0.010507069860505203,16.469999313354492,649.6500244140625,10699.735456020338,CPER
2017-01-06,2017,0.0,0.0,0.0,-0.0,-0.0,0.33183092344455956,-0.01723620724394559,27.529422760009766,649.6500244140625,17884.490168145392,ECH
2017-01-09,2017,1.0,1.0,0.0,0.02976555899535671,0.02976555899535671,0.6897670851909666,0.02976555899535671,114.65553283691406,666.7999877929688,76452.30789605062,QQQ
2017-01-09,2017,0.0,0.0,0.0,0.0,0.0,,0.033877140673292505,16.59000015258789,666.7999877929688,11062.211899230955,CPER
2017-01-09,2017,0.0,0.0,0.0,0.0,0.0,0.3431715913228469,0.017649169448101132,27.29474639892578,666.7999877929688,18200.13656561589,ECH
2017-01-10,2017,0.0,0.0,0.0,0.0,0.0,,0.005975443616459408,17.040000915527344,653.0700073242188,11128.313522708137,CPER
2017-01-10,2017,0.0,0.0,0.0,-0.0,-0.0,0.36529392371297376,-0.015591182909171608,27.434080123901367,653.0700073242188,17916.37490744947,ECH
2017-01-10,2017,1.0,1.0,0.0,-0.01842930232533191,-0.01842930232533191,0.7846682268332654,-0.01842930232533191,114.90857696533203,653.0700073242188,75043.34520036494,QQQ
2017-01-11,2017,0.0,0.0,0.0,0.0,0.0,0.3390564146262016,0.02001295910896439,27.749418258666992,658.5700073242188,18274.93458585313,ECH
2017-01-11,2017,1.0,1.0,0.0,0.011136365394629921,0.011136365394629921,0.7838010863417963,0.011136365394629921,115.21790313720703,658.5700073242188,75879.05531295156,QQQ
2017-01-11,2017,0.0,0.0,0.0,-0.0,-0.0,,-0.000455280213931486,16.889999389648438,658.5700073242188,11123.247021746822,CPER
2017-01-12,2017,0.0,0.0,0.0,0.0,0.0,0.3505829298157195,0.008266103824148052,28.167417526245117,654.1599731445312,18425.997092519305,ECH
2017-01-12,2017,1.0,1.0,0.0,-0.008231865219318513,-0.008231865219318513,0.7364498801046566,-0.008231865219318513,115.039794921875,654.1599731445312,75254.42915664613,QQQ
2017-01-12,2017,0.0,0.0,0.0,0.0,0.0,,0.01918012451960771,17.329999923706055,654.1599731445312,11336.592284686281,CPER
2017-01-13,2017,0.0,0.0,0.0,0.0,0.0,0.33999439599043807,0.0073754078372225695,28.402082443237305,653.5399780273438,18561.896335884114,ECH
2017-01-13,2017,1.0,1.0,0.0,0.0024710094075053313,0.0024710094075053313,0.8203173918714786,0.0024710094075053313,115.43346405029297,653.5399780273438,75440.38355904864,QQQ
2017-01-13,2017,0.0,0.0,0.0,0.0,0.0,,0.0140409061682496,17.59000015258789,653.5399780273438,11495.768313223263,CPER
2017-01-17,2017,0.0,0.0,0.0,-0.0,-0.0,0.396789331692577,-0.01036523177937243,28.387418746948242,647.0999755859375,18369.497978097992,ECH
2017-01-17,2017,1.0,1.0,0.0,-0.012828441065055318,-0.012828441065055318,0.8287656697603142,-0.012828441065055318,115.08670043945312,647.0999755859375,74472.60104463622,QQQ
2017-01-17,2017,0.0,0.0,0.0,-0.0,-0.0,,-0.035747612800387185,17.1299991607666,647.0999755859375,11084.822038719198,CPER
2017-01-18,2017,0.0,0.0,0.0,-0.0,-0.0,0.4024453570598583,-0.0005975199705166023,28.51942253112793,643.719970703125,18358.521836207714,ECH
2017-01-18,2017,0.0,0.0,0.0,-0.0,-0.0,,-0.005803936213470529,17.1200008392334,643.719970703125,11020.486438668799,CPER
2017-01-18,2017,1.0,1.0,0.0,-0.003198100373747903,-0.003198100373747903,0.7065176930394665,-0.003198100373747903,115.32099914550781,643.719970703125,74234.43019140139,QQQ
2017-01-19,2017,0.0,0.0,0.0,-0.0,-0.0,,-0.00028366698320014816,17.0,648.0800170898438,11017.360290527344,CPER
2017-01-19,2017,0.0,0.0,0.0,0.0,0.0,0.3932983776357844,0.003666778055050779,28.431425094604492,648.0800170898438,18425.83846119989,ECH
2017-01-19,2017,1.0,1.0,0.0,0.006282450567377751,0.006282450567377751,0.8046290055232563,0.006282450567377751,115.26478576660156,648.0800170898438,74700.80432947632,QQQ
2017-01-20,2017,0.0,0.0,0.0,0.0,0.0,,0.027246190495113787,17.139999389648438,660.2999877929688,11317.541387756355,CPER
2017-01-20,2017,0.0,0.0,0.0,0.0,0.0,0.34943274705493255,0.024637041983402108,28.592756271362305,660.2999877929688,18879.79661694786,ECH
2017-01-20,2017,1.0,1.0,0.0,0.02109223961963913,0.02109223961963913,0.7596200756202672,0.02109223961963913,115.51781463623047,660.2999877929688,76276.4115941734,QQQ
2017-01-23,2017,0.0,0.0,0.0,-0.0,-0.0,,-0.013598551006722581,17.329999923706055,644.1799926757812,11163.639223924256,CPER
2017-01-23,2017,0.0,0.0,0.0,-0.0,-0.0,0.3923483196417629,-0.014154300777438733,28.89342498779297,644.1799926757812,18612.56629701471,ECH
2017-01-23,2017,1.0,1.0,0.0,-0.02362177485979644,-0.02362177485979644,0.723870562282327,-0.02362177485979644,115.61151885986328,644.1799926757812,74474.62737238267,QQQ
2017-01-24,2017,0.0,0.0,0.0,0.0,0.0,,0.011455764761146181,17.729999542236328,636.8599853515625,11291.527248751838,CPER
2017-01-24,2017,0.0,0.0,0.0,-0.0,-0.0,0.4157886047716043,-0.008603187467207452,28.974090576171875,636.8599853515625,18452.438899915665,ECH
2017-01-24,2017,1.0,1.0,0.0,-0.004710657583860245,-0.004710657583860245,0.7481541550328294,-0.004710657583860245,116.38948059082031,636.8599853515625,74123.80290414579,QQQ
2017-01-25,2017,0.0,0.0,0.0,0.0,0.0,0.34036270342781083,0.03870197890007088,29.3920955657959,652.0999755859375,19166.584800875047,ECH
2017-01-25,2017,1.0,1.0,0.0,0.0342367778912811,0.0342367778912811,0.7923731326578054,0.0342367778912811,117.5610580444336,652.0999755859375,76661.56308063213,QQQ
2017-01-25,2017,0.0,0.0,0.0,0.0,0.0,,0.023929891318202667,17.729999542236328,652.0999755859375,11561.732268630993,CPER
2017-01-26,2017,1.0,1.0,0.0,-0.005410985166677262,-0.005410985166677262,0.7521960362415239,-0.005410985166677262,117.68289184570312,647.9000244140625,76246.74849994853,QQQ
2017-01-26,2017,0.0,0.0,0.0,-0.0,-0.0,,-0.021010630704020428,17.469999313354492,647.9000244140625,11318.81298163603,CPER
2017-01-26,2017,0.0,0.0,0.0,-0.0,-0.0,0.34062391785742296,-0.012637891800237777,29.208765029907227,647.9000244140625,18924.359575981507,ECH
2017-01-27,2017,1.0,1.0,0.0,-0.012980371614444541,-0.012980371614444541,0.7520835779570358,-0.012980371614444541,117.9078369140625,638.27001953125,75257.03737002611,QQQ
2017-01-27,2017,0.0,0.0,0.0,-0.0,-0.0,,-0.006404797212879565,17.6200008392334,638.27001953125,11246.318279798143,CPER
2017-01-27,2017,0.0,0.0,0.0,-0.0,-0.0,0.3870213612303287,-0.024509561889533016,28.922761917114258,638.27001953125,18460.53181373421,ECH
2017-01-30,2017,1.0,1.0,0.0,0.009511855972163197,0.009511855972163197,0.7648378199451515,0.009511855972163197,116.98932647705078,649.4000244140625,75972.8714703815,QQQ
2017-01-30,2017,0.0,0.0,0.0,0.0,0.0,,0.00588905572404852,17.420000076293945,649.4000244140625,11312.548474838259,CPER
2017-01-30,2017,0.0,0.0,0.0,0.0,0.0,0.3423736867040026,0.005570993600153784,28.585424423217773,649.4000244140625,18563.37531832396,ECH
2017-01-31,2017,1.0,1.0,0.0,-0.0046155078222699375,-0.0046155078222699375,0.7015479508485323,-0.0046155078222699375,116.7550048828125,647.7000122070312,75622.21808782965,QQQ
2017-01-31,2017,0.0,0.0,0.0,0.0,0.0,,0.01799401676782386,17.780000686645508,647.7000122070312,11516.10666178132,CPER
2017-01-31,2017,0.0,0.0,0.0,-0.0,-0.0,0.3611353832659901,-0.005176594700561199,28.512088775634766,647.7000122070312,18467.280248026596,ECH
2017-02-01,2017,0.0,0.0,0.0,-0.0,-0.0,,-0.005163764610201627,17.68000030517578,648.0,11456.640197753906,CPER
2017-02-01,2017,0.0,0.0,0.0,0.0,0.0,0.34023561772975675,0.0022641673885153146,28.56341552734375,648.0,18509.09326171875,ECH
2017-02-01,2017,1.0,1.0,0.0,0.007370155743329221,0.007370155743329221,0.6116074803455762,0.007370155743329221,117.5610580444336,648.0,76179.56561279297,QQQ
2017-02-02,2017,0.0,0.0,0.0,0.0,0.0,0.36113773838385815,0.013451237072237054,29.032756805419922,646.0999755859375,18758.063463174272,ECH
