date,asset,ensemble,paper_action,target_portfolio_weight,price_usd,usdclp,price_clp
2026-09-22,QQQ,VOLTARGET20:0.34 + VOLTARGET10:0.33 + VOLTARGET15:0.33,EXPOSICIÓN PARCIAL (paper),0.22629129830979877,747.4600219726562,947.469970703125,708195.9251201898
2026-09-22,ECH,RF:0.42 + HGB:0.32 + LOGIT:0.26,EXPOSICIÓN BAJA (paper),0.09713879810968785,40.25,947.469970703125,38135.66632080078
2026-09-22,CPER,LOGIT:0.43 + LOGIT:0.31 + LOGIT:0.27,ALTA EXPOSICIÓN (paper),0.3,41.43000030517578,947.469970703125,39253.68117537536
